question,category
Tell me about Kigali traffic.,traffic
How bad is traffic in Kigali?,traffic
Is there heavy traffic now?,traffic
How is traffic congestion managed?,traffic
What is the traffic situation today?,traffic
What are the causes of traffic in Kigali?,traffic
How does AI improve transportation?,ai
How is AI used in traffic control?,ai
Can AI help with road safety?,ai
What role does AI play in Kigali's transport system?,ai
Tell me about AI traffic management.,ai
What are the bus schedules?,bus_schedule
When is the next bus to Kacyiru?,bus_schedule
How do I find Kigali bus routes?,bus_schedule
How can AI optimize bus schedules?,bus_schedule
Which buses go to the airport?,bus_schedule
Can AI help reduce accidents?,accidents
What happens when an accident occurs?,accidents
How are accidents detected?,accidents
How does AI assist in emergency response?,accidents
What are the main accident hotspots in Kigali?,accidents
What's the weather like?,weather
How is the weather today?,weather
Will it rain in Kigali?,weather
Tell me the weather forecast for tomorrow.,weather
Is it safe to drive today based on the weather?,weather
